,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,rurrenabaque,-14.44,-67.53,92.88,31,3,3.91,BO,1596996498
371,koslan,63.46,48.9,47.34,85,66,5.03,RU,1596996498
372,katsuura,35.13,140.3,84.2,79,75,4.7,JP,1596996358
373,barrancas,10.96,-72.79,96.8,47,40,17.22,CO,1596996499
374,rincon,32.3,-81.24,93.0,59,40,4.7,US,1596996500
375,sangar,63.92,127.47,56.01,95,100,5.79,RU,1596996500
376,kavieng,-2.57,150.8,80.85,76,100,3.78,PG,1596996430
377,inuvik,68.35,-133.72,51.8,81,90,12.75,CA,1596996239
378,evensk,61.95,159.23,51.69,78,18,3.29,RU,1596996502
379,los algarrobos,8.5,-82.43,86.0,74,40,5.82,PA,1596996503
380,comodoro rivadavia,-45.87,-67.5,48.2,45,100,18.34,AR,1596996503
381,altagracia de orituco,9.86,-66.38,81.72,79,17,4.18,VE,1596996503
382,rawson,-43.3,-65.1,48.45,51,100,15.88,AR,1596996379
383,chilca,-12.52,-76.74,60.8,77,75,10.29,PE,1596996504
384,khorramshahr,30.44,48.17,100.4,22,21,9.17,IR,1596996504
385,skaudvile,55.42,22.62,68.67,82,53,4.79,LT,1596996504
